Time,Run,image name,Y position,X position,Y comand position,X comand position,Z comand position,axis_x_position_error,axis_y_position_error,axis_z_position_error, pix_Y,pix_X, pix_R, temp0, temp1, temp2,temp3
2025-05-19-11-06-21,0,0.png,0,0,-49.765257,-3.375531,-3.4002,9.76563E-006,-4.88281E-006,    0.0001,1499.9154060786525,2048.011940308589,215.52536916546975,23.74,23.92,23.75,23.8 
2025-05-19-11-06-25,0,1.png,0,1,-48.765762,-3.375247,-3.400201,1.2207E-005,-4.88281E-006,         0,1500.0765687135752,2047.9469832436403,215.57176040471492,23.74,23.92,23.75,23.81 
2025-05-19-11-06-29,0,2.png,0,2,-47.765777,-3.375278,-3.400201,         0,-4.88281E-006,         0,1500.045599250507,2047.9993268076057,215.57251108302222,23.74,23.91,23.75,23.81 
2025-05-19-11-06-33,0,3.png,0,3,-46.765553,-3.37577,-3.400202,-4.88281E-006,1.46484E-005,         0,1500.0469703016656,2047.9796042370544,215.5785255010213,23.74,23.91,23.75,23.81 
2025-05-19-11-06-37,0,4.png,0,4,-45.765478,-3.375899,-3.400203,-1.2207E-005,9.76563E-006,         0,1499.9888033605623,2047.9770075466408,215.54546628743114,23.74,23.91,23.75,23.81 
2025-05-19-11-06-41,0,5.png,0,5,-44.765864,-3.375604,-3.400203,1.2207E-005,         0,    0.0001,1500.1003332283972,2048.045495443939,215.5359283689134,23.74,23.92,23.75,23.8 
2025-05-19-11-06-45,0,6.png,0,6,-43.76607,-3.375532,-3.400204,4.88281E-006,         0,         0,1499.9775373269295,2048.013131250685,215.56884462462654,23.74,23.91,23.75,23.82 
2025-05-19-11-06-49,0,7.png,0,7,-42.765905,-3.375836,-3.400205,-4.88281E-006,9.76563E-006,         0,1499.9410130833555,2047.9801034348898,215.5845757073507,23.74,23.93,23.75,23.8 
2025-05-19-11-06-53,0,8.png,0,8,-41.765701,-3.376131,-3.400205,1.2207E-005,9.76563E-006,    0.0001,1500.16845274994,2047.9733015907348,215.5873585541711,23.74,23.92,23.75,23.81 
2025-05-19-11-06-57,0,9.png,0,9,-40.765974,-3.37594,-3.400206,         0,4.88281E-006,         0,1499.8725798022172,2047.9496475712974,215.57070000336674,23.74,23.93,23.75,23.81 
2025-05-19-11-07-01,0,10.png,0,10,-39.7661,-3.376046,-3.400207,-7.32422E-006,4.88281E-006,         0,1500.0617515230251,2047.9336811361711,215.59895505339622,23.74,23.91,23.75,23.81 
2025-05-19-11-07-05,0,11.png,0,10,-39.766144,-3.375883,-3.400207,-7.32422E-006,-4.88281E-006,         0,1499.9018349745184,2047.9605851666547,215.601568763862,23.74,23.92,23.76,23.81 
2025-05-19-11-07-08,0,12.png,0,9,-40.766015,-3.375985,-3.400206,4.88281E-006,         0,         0,1499.8813926386226,2047.947525090863,215.57741906089115,23.74,23.93,23.76,23.82 
2025-05-19-11-07-12,0,13.png,0,8,-41.765791,-3.37606,-3.400205,1.95313E-005,         0,         0,1499.9627384124324,2048.0043674616113,215.58824070661555,23.74,23.92,23.76,23.81 
2025-05-19-11-07-16,0,14.png,0,7,-42.76586,-3.375747,-3.400205,-7.32422E-006,4.88281E-006,         0,1499.9382801069862,2048.018534693312,215.5903174225553,23.74,23.92,23.76,23.81 
2025-05-19-11-07-20,0,15.png,0,6,-43.766106,-3.375463,-3.400204,-4.88281E-006,         0,         0,1499.994054723032,2047.978653842233,215.5679830737719,23.74,23.93,23.76,23.81 
2025-05-19-11-07-24,0,16.png,0,5,-44.765926,-3.375313,-3.400203,4.88281E-006,-9.76563E-006,         0,1500.0095365734012,2047.9937098032344,215.54011306299864,23.74,23.92,23.76,23.82 
2025-05-19-11-07-28,0,17.png,0,4,-45.765565,-3.375897,-3.400203,9.76563E-006,4.88281E-006,         0,1500.1841776831347,2047.933356424825,215.5442530935245,23.74,23.92,23.76,23.84 
2025-05-19-11-07-32,0,18.png,0,3,-46.765502,-3.37571,-3.400202,1.2207E-005,-4.88281E-006,         0,1500.0266020195925,2047.9767836926283,215.57331308546708,23.74,23.92,23.76,23.81 
2025-05-19-11-07-36,0,19.png,0,2,-47.765817,-3.37526,-3.400201,9.76563E-006,4.88281E-006,         0,1499.898569408411,2048.001337148474,215.57164669504246,23.74,23.92,23.76,23.81 
2025-05-19-11-07-40,0,20.png,0,1,-48.765776,-3.375109,-3.400201,4.88281E-006,-4.88281E-006,         0,1499.8339111470452,2048.0364241705556,215.5716570446914,23.74,23.93,23.76,23.81 
2025-05-19-11-07-44,0,21.png,0,0,-49.765348,-3.375599,-3.4002,9.76563E-006,4.88281E-006,         0,1500.0531323791777,2048.0029394299127,215.52903003738137,23.74,23.92,23.76,23.82 
2025-05-19-11-07-48,0,22.png,1,0,-49.765648,-2.375572,-3.400199,-2.44141E-006,-4.88281E-006,    0.0001,1500.0524417137083,2047.9688984824402,215.58788680214653,23.74,23.92,23.76,23.8 
